audio	sentence	native_lang
30_4104_2_301_01_211110-131321_bem_654_elicit_1.wav	Eya mune,bekele mumucaanga elyo namabimbi yalepita pacimana.	bem
28_9358_0_281_01_220110-134514_bem_94f_elicit_0.wav	Umulumendo ale fwaya ukulya umukate, kuminwe naikata nkupiko.	ngo
12_6602_4_121_01_211105-161259_bem_9ed_elicit_2.wav	Kuli inyimbo baleimba kuli abantu abeshile muku tamba	nya
16_7700_2_161_01_211109-140338_bem_74d_elicit_1.wav	ee elo umumana wakayena ulemonekafye makumbi makumbi.	toi
29_3819_1_292_02_211114-111534_bem_a9e_elicit_0.wav	elyo aka kamwana kalemoneka kwati kalefwaya ukwamba ukushana,cipalile ulwimbo kaleumfwa naluwama nganshi.	bem
21_1913_2_211_01_211112-234532_bem_83a_elicit_1.wav	Cacine kulemoneka ukwabusaka nganshi ifisoso fyonse nabafibika mu ng'ungulu ya plastic nangula mu fibokoshi fili mu mbali yamusebo	
1_47_3_12_02_211026-103722_bem_d90_elicit_1.wav	bushe ninshi tafileibila fyena ifyobekete	bem
28_9361_4_281_01_220110-134844_bem_94f_elicit_2.wav	Elyo umwaku sukile inbale nabikamo aka beseni akaku washisha.	ngo
10_6088_1_102_02_211101-223122_bem_ddd_elicit_0.wav	Kunuma kuli icibumba icitali	bem
27_9065_3_272_02_211113-121337_bem_b15_elicit_1.wav	Kunuma yabo kuli amaloba ayengi ayafita yafwili yamumbali yacibansa.	leh
30_3999_0_301_01_211109-112121_bem_654_elicit_0.wav	Cinkupiti wabantu ali kucisankano.	bem
17_7903_4_171_01_211110-061647_bem_947_elicit_2.wav	Ee kabili balili nafwala amakapa lelyo umo nao nafwala insapato.	toi
17_6562_3_172_02_220112-132813_bem_5da_elicit_1.wav	Emukwai shi tata nafwala ifyakufwala fya fita na namayo nafwala ilaya lya buta.	toi
20_7355_2_201_01_220116-195930_bem_62a_elicit_1.wav	cilepala kwati naticila ishi ankwe shonse mulubilo, kuli nabantu babili abaletamba	bem
22_7823_3_222_02_211112-112434_bem_50c_elicit_1.wav	cipalile kwati ibumba ile lwisha  ukwingala mwi tent	lam
13_6820_4_131_01_211029-170640_bem_9ed_elicit_2.wav	Cishinka, cilemoneka kwati nakwambo uku fita	nya
34_5049_1_342_02_211114-011036_bem_50c_elicit_0.wav	Umukashana nafwala ilaya ilya buuta.	lam
18_12134_4_181_01_211114-224547_bem_5da_elicit_2.wav	Nomba ababene bakashana nangu tulelanda pamulomo balemoneka  kwati tabaleshimika na kushimika,bonse balifye nefyabo.	toi
2_329_1_22_02_211026-122401_bem_2a5_elicit_0.wav	Ileoowela mu menshi ilyo yi sumine akamupila mu kanwa.	
24_2474_3_242_02_211108-140623_bem_150_elicit_1.wav	Bushe aka kamwana kanshintilishe umubiye takamuchene mwa?	bem
13_6945_4_131_01_211031-144416_bem_9ed_elicit_2.wav	Kule moneka uku bali abaice niku mushi mumi monekele iya ma yanda ayaba uku	nya
14_7040_0_141_01_211111-091830_bem_f08_elicit_0.wav	Umulumendo nafwala ifyafita nomukashana nafwala ifya katapa katapa nabekatana mumpanga.	bem
22_7888_2_221_01_211112-212218_bem_004_elicit_1.wav	cacine patu ba lelya mu musebo	nbl
34_10837_0_341_01_220128-155030_bem_d0b_elicit_0.wav	bashi bantu balelisha violin wakumalaiti.	bem
33_4790_3_332_02_211109-193906_bem_b14_elicit_1.wav	kabili mukati ye yadi umuli amayanda muli ne cimuti icikulu ica katapa-katapa	nse
6_1341_2_61_01_211025-071414_bem_53e_elicit_1.wav	Imishishi shakwe shaliba ishaputuka bwino. elo ifiputula afwele calikwata netumba ilikulu kumbali.	bem
12_6502_2_121_01_211104-200250_bem_9ed_elicit_1.wav	naiminina panshi iyamusebo	nya
27_8951_4_271_01_211113-095556_bem_f07_elicit_2.wav	eya mukwai, imfula Shauta shena shalisangwa saana kufyalo fyabasungu.	nya
35_11171_4_351_01_220118-194031_bem_ba5_elicit_2.wav	Aba bapatili bafwele nensalu shamachungwa machungwa. Nabaipomba.	bem
17_7926_0_171_01_211110-071047_bem_947_elicit_0.wav	Namayo umusungu aleenda pa musebo.	toi
31_4273_3_312_02_211111-221833_bem_83a_elicit_1.wav	Ku icifulo ali kulemoneka nimuchibansa  nangula mulya mulima Inama.	
22_2063_2_221_01_211110-080552_bem_50c_elicit_1.wav	Nafwala akasote aka buta elyo nakapilibula	lam
17_6524_3_172_02_220112-120932_bem_5da_elicit_1.wav	Bushe imbwa iyi ilife yeka uku kuntu?	toi
2_252_3_22_02_211024-182657_bem_2a5_elicit_1.wav	Kuli icikulwa ca ntunti  shibili ica pentwa elyo nachikwata amawindo ayeswike elyo yambi nayesalwa.	bem
13_6777_2_131_01_211028-115000_bem_9ed_elicit_1.wav	Aleemoneka ali kucikuulwa icabwalwa.	nya
18_12181_2_181_01_211115-111504_bem_5da_elicit_1.wav	Ee boi ndemona ecilengele aba bantu ukuya pamusebo ukutila abalengile ukucita ifi baposeko amaano.	toi
19_7156_2_191_01_220118-165328_bem_524_elicit_1.wav	Aya kunuma nayema mumulu	bem
19_1346_3_192_02_211110-131540_bem_d8d_elicit_1.wav	nashikala pansalu yamu ng'anda iya makumbi makumbi cilepala kwati ishi imbwa Shamu ng'anda.	leh
25_2887_4_251_01_211110-124206_bem_5da_elicit_2.wav	Awe kwena lisuma sana isitolo ili elyo kaili tema buku fye ashitishamo mula sangwa nama part yaku fimbaya mbaya ifyapusana, bonse abantu emo besa mukushita.	toi
34_4990_4_341_01_211113-164655_bem_004_elicit_2.wav	Umukashana umo nabapindula icinso cakwe pakamupila.	nbl
16_7625_2_161_01_211109-122916_bem_74d_elicit_1.wav	kwena nainewine teti njishibe, alemonekafye kwati Pali uko aleya uyu umulumendo.	toi
28_9233_2_281_01_220108-160320_bem_94f_elicit_1.wav	Nangula ebakumwenenena ica ngalo kuti bonse bale teya bwino ukwabula ulu fyengo	ngo
4_913_1_42_02_211026-001042_bem_5a5_elicit_0.wav	Iyi imbwa ikwte aka vesti ka mutuntula ilemonaka kwati yalebutukisha eco ilemonekela kwati ili pamwela	bem
8_1769_1_82_02_211026-062914_bem_ce8_elicit_0.wav	Nabaikakila na ifintu panuma	bem
8_1877_1_82_02_211031-045452_bem_ce8_elicit_0.wav	Mpumpumpu yakwe naima nakuntanshi	bem
16_7529_2_161_01_170101-064659_bem_74d_elicit_1.wav	limbi balelolela motoka Yakuba twala pantu balemoneka kwati baletutuma	toi
12505_3_02_211102-080644_bem_dcc_elicit_1.wav	Ifyakufwala nifimona filemoneka bwino sana pantu fyonse fyama makumbi makumbi elyo mukati na mwena abikilemo icakufwala ica maboko ayatali ica makumbi makumbi	bem
19_1391_1_192_02_211110-163609_bem_d8d_elicit_0.wav	elyo nafwala ifyakufwala fyafita, tafwele nensapato.	leh
19_6957_1_192_02_220117-203606_bem_5bb_elicit_0.wav	chili nishita ya bushiku pantu nakufita	bem
7_5328_3_72_02_170101-051539_bem_74d_elicit_1.wav	elo aba balemoneka kwati bale angala ubwangalo bwakucimfyanya.	toi
27_8962_1_272_02_211112-215137_bem_e72_elicit_0.wav	Umo nasuma umunankwe, elo uo basuma natoloka noku punda umulandu wabukali.	leh
9_5872_0_91_01_211030-101512_bem_901_elicit_0.wav	Abalumendo abacaice bali panse pancende imo.	bem
34_5007_1_342_02_211113-212758_bem_50c_elicit_0.wav	Ili  pa lunkoto ile-angala ne cimuti.	lam
33_4731_3_332_02_211109-141256_bem_b14_elicit_1.wav	Elo kabili uyu umwaume nafumina panse ya nsolokoto ya  pa muulu kabili naikala pa kapuna akanono ukulolesha ku nsolokoto	nse
37_5928_4_371_01_211112-213116_bem_5bb_elicit_2.wav	Nakulubantu  akoveke ukuboko mukwamulumendo pakwenda.	bem
7_5289_1_72_02_211027-160944_bem_74d_elicit_0.wav	elo kumbali Kuli na abantu basano abaletamba ificitike.	toi
19_6964_3_192_02_220117-205609_bem_5bb_elicit_1.wav	Mupepi na uyu shikulu bantu pali naumbi shitaata uyo aleyensha kamanshini aka katapakatapa	bem
