pair_id	image	sentence_id	image_id	audio_id	sentence	translation	speaker_id	gender	duration	sample_rate	audio_format	recording_lang	native_lang
30.0	3041042	1	2119044348.jpg	30_4104_2_301_01_211110-131321_bem_654_elicit_1.wav	Eya mune,bekele mumucaanga elyo namabimbi yalepita pacimana.	Yea dear, while they are sitting in sand the waves are tossing to and from.	301	male	10.095	16000	vnd.wave	bem	bem
28.0	2893580	1	5455524571.jpg	28_9358_0_281_01_220110-134514_bem_94f_elicit_0.wav	Umulumendo ale fwaya ukulya umukate, kuminwe naikata nkupiko.	A man wants to eat bread while holding a lid in his hand.	281	male	6.987	16000	vnd.wave	bem	ngo
12.0	1266024	1	2701895972.jpg	12_6602_4_121_01_211105-161259_bem_9ed_elicit_2.wav	Kuli inyimbo baleimba kuli abantu abeshile muku tamba	there are songs they are singing and there people who have Come to watch	121	male	5.0360000000000005	16000	vnd.wave	bem	nya
16.0	1677002	1	382701159.jpg	16_7700_2_161_01_211109-140338_bem_74d_elicit_1.wav	ee elo umumana wakayena ulemonekafye makumbi makumbi.	The river water looks blue.	161	female	6.216	16000	vnd.wave	bem	toi
29.0	2938191	2	3308612098.jpg	29_3819_1_292_02_211114-111534_bem_a9e_elicit_0.wav	elyo aka kamwana kalemoneka kwati kalefwaya ukwamba ukushana,cipalile ulwimbo kaleumfwa naluwama nganshi.	It looks like this chils is about to start dancing it's like the song he is listening to is nice.	292	female	6.874	16000	vnd.wave	bem	bem
21.0	2119132	1	4834131290.jpg	21_1913_2_211_01_211112-234532_bem_83a_elicit_1.wav	Cacine kulemoneka ukwabusaka nganshi ifisoso fyonse nabafibika mu ng'ungulu ya plastic nangula mu fibokoshi fili mu mbali yamusebo	true. and this place is extremely clean as all the dirt has been put in garbage bags as well as boxes that are on the side of the road.	211	female	10.617	16000	vnd.wave	bem	
1.0	1473	2	3460458114.jpg	1_47_3_12_02_211026-103722_bem_d90_elicit_1.wav	bushe ninshi tafileibila fyena ifyobekete	why are  these floaters not sinking?	12	male	5.082	16000	vnd.wave	bem	bem
28.0	2893614	1	5501340599.jpg	28_9361_4_281_01_220110-134844_bem_94f_elicit_2.wav	Elyo umwaku sukile inbale nabikamo aka beseni akaku washisha.	She has put a basin in the sink for washing.	281	male	6.148	16000	vnd.wave	bem	ngo
10.0	1060881	2	3607969989.jpg	10_6088_1_102_02_211101-223122_bem_ddd_elicit_0.wav	Kunuma kuli icibumba icitali	Behind there is a high wall	102	male	3.924	16000	vnd.wave	bem	bem
27.0	2790653	2	6275000713.jpg	27_9065_3_272_02_211113-121337_bem_b15_elicit_1.wav	Kunuma yabo kuli amaloba ayengi ayafita yafwili yamumbali yacibansa.	behind them is a lot of black soil on one side of the sports field	272	female	7.35	16000	vnd.wave	bem	leh
