audio	sentence	native_lang
10_6232_0_101_01_211108-104229_bem_5a5_elicit_0.wav	imbwa shibili iyafitafita neya buta shili palunkotu	bem
38_6172_3_382_02_211113-070226_bem_f12_elicit_1.wav	Uyu kateya nafwala icakwikatilako uyu umupila pakuti epusa, elyo kabili wimucena muminwe.	bem
2_300_2_21_01_211023-135144_bem_cee_elicit_1.wav	Iyi imbwa naikwata amasako ya buta kabili naya fita, muli na ifibala fya brown.	bem
12_6706_3_122_02_211104-073306_bem_ce8_elicit_1.wav	Nabeminina mupepi na umumana	bem
11_6262_1_112_02_211101-162335_bem_574_elicit_0.wav	Elyo kabili uyu mwaume naiminina ku mbaula iyo bapanga bwino ne lata elo kabilil muli umulilo muli iyi mbaula iyakwata ne cakuntunkulamo mukati.	bem
5_4819_3_52_02_220125-065225_bem_574_elicit_1.wav	Uleensha tuloli alikwata namagalashi ayakumwafwa ukumwenekesha bwino	bem
18_6705_2_181_01_220116-122555_bem_524_elicit_1.wav	Muminwe nalema utufintu utwa buuta kwati mucele.	bem
30_4004_0_301_01_211109-190424_bem_654_elicit_0.wav	Batata bali mu bwato pamumana.	bem
28_3657_1_282_02_211111-182508_bem_665_elicit_0.wav	Baleendela kumbali ya musebo, kuli na ifimbaya-mbaya ifyalekana-lekana.	bem
20_7355_2_201_01_220116-195930_bem_62a_elicit_1.wav	cilepala kwati naticila ishi ankwe shonse mulubilo, kuli nabantu babili abaletamba	bem
5_4922_3_52_02_220125-223246_bem_574_elicit_1.wav	Ulele pa numa ena na shintilisha na kucola cakwe mukutila alale bwino, akwete imishishi sha buuta isha ishipi, icampepeo  cakwe cintu ca kashika.	bem
15_7454_1_152_02_211030-172929_bem_8cc_elicit_0.wav	nafwala na icisote icafita ku mutwe	bem
30_4003_2_301_01_211109-190155_bem_654_elicit_1.wav	Elyo uyu wine umukashana alitula namatwi.	bem
18_6783_2_181_01_220116-210353_bem_524_elicit_1.wav	Abaume nabekala pa cilepala kwati nakalimo chimbaya mbaya ichapangwa na abaana.	bem
32_10384_0_321_01_220123-144235_bem_b8a_elicit_0.wav	Abantu basano apali umwaume umo na banakashi babili na bana babili Bali kuncende imo.	bem
15_3678_0_151_01_211027-130355_bem_8cc_elicit_0.wav	Umwaice shitaata nafwala icisote cafiita.	bem
21_7530_4_211_01_220117-123848_bem_665_elicit_2.wav	Aleyelenganyafye ubusuma bwapamumana, ukumona ifyo icimana cayemba.	bem
7_1622_1_72_02_211031-121305_bem_40e_elicit_0.wav	mufyaani ifya katapa katapa	bem
24_2674_3_242_02_211109-132257_bem_150_elicit_1.wav	Muntu alesukila imbale mulemoneka mitomito.	bem
38_6104_2_381_01_211112-232158_bem_ba5_elicit_1.wav	Ishi nimyotoka ishaseeka mufyalo umwafula saana abantu pantu shilapangwa ishinoono.	bem
25_2798_1_252_02_211109-181421_bem_f08_elicit_0.wav	Ubwangala ubu baleteya bashi tata abakalamba beka beka.	bem
19_7123_4_191_01_220118-142617_bem_524_elicit_2.wav	kunuma  yabo kuli abaume abemanine abo aba alalolekesha pa bwangalo	bem
24_2658_3_242_02_211109-122939_bem_150_elicit_1.wav	Icela balebonfwa ukubeyelako umulumendo cintu cabuta namupita notwa fita	bem
4_4644_1_42_02_211030-170458_bem_5a5_elicit_0.wav	Elo uyu mulumendo ukwete imishishi ishitali nakwata nakacola chola munuma yakwe.	bem
12583_2_01_211103-011412_bem_dcc_elicit_1.wav	Ne cisebele ifyo fye cilemoneka kuti calenga umuntu afwaisha ukwimba kabili kuti calenga umuntu aimba bwino mona fye ifyo cilemoneka.	bem
19_1265_2_191_01_211108-200039_bem_665_elicit_1.wav	Elyo kuli na shitata wabuta inkanda, aleisa lutonuma lwabo.	bem
8_5696_1_82_02_211105-091752_bem_901_elicit_0.wav	alefwaya ukwikata icola	bem
35_10988_3_352_02_220117-172450_bem_f12_elicit_1.wav	Yambi yalemoneka ngamatuuka elyo yambi mwakubombela abantu abamacito ayakalamba.	bem
9_5922_3_92_02_211028-233433_bem_ebf_elicit_1.wav	Nomba ulupwa ulu, bena tabakeangala?	bem
