audio	sentence	native_lang
34_4997_2_341_01_211113-165935_bem_004_elicit_1.wav	Umulumendo ni kapyanga wamu musebo.	nbl
27_8983_4_271_01_211113-104123_bem_f07_elicit_2.wav	Elyo cilemoneka kwati nabasansamuka saana ukusamba mumenshi,elyo nakukaba.	nya
22_7910_3_222_02_211112-222103_bem_50c_elicit_1.wav	cilemoneka kwati aba ni bawishi ba kanya	lam
25_2743_0_251_01_211109-123044_bem_5da_elicit_0.wav	Shitata umo naiminina panse alelanda pali lamya naumbi shitata ali muli motoka alelanda pali lamya.	toi
27_3361_0_271_01_211111-125055_bem_e6d_elicit_0.wav	Ibumba lyabantu nabemakana balepembela uku chiluka.	leh
32_4594_1_322_02_211111-093504_bem_947_elicit_0.wav	pa kwangala naimya nencinga mumulu	toi
22_2019_3_222_02_211108-193120_bem_004_elicit_1.wav	Iyi nayena ni bwato	nbl
25_2705_0_251_01_211109-100827_bem_5da_elicit_0.wav	Abalumendo babili balecena.	toi
32_4632_1_322_02_211112-085519_bem_947_elicit_0.wav	pali bamo abafwele amalaya ayafita yamoyene kabili bale enda	toi
34_5054_0_341_01_211113-215531_bem_004_elicit_0.wav	Umulumendo ale-enda mu nshila.	nbl
22_2092_3_222_02_211109-175223_bem_004_elicit_1.wav	imbwa imo naifwala akalembwa	nbl
7_1711_0_71_01_170102-002320_bem_74d_elicit_0.wav	umuntu naikata intambo alesheleleka pamenshi naima namumuulu.	toi
7_1729_4_71_01_170102-005655_bem_74d_elicit_2.wav	napamenso pakwe palemoneka apa enekela.	toi
22_7786_3_222_02_211112-061624_bem_50c_elicit_1.wav	ku lubali yabo kuli imotoka elo na ku ntanshi yabo	lam
28_3604_4_281_01_211112-192229_bem_d8d_elicit_2.wav	aba bantu balemoneka kwati nabafwala ifibokoshi elyo bafipenta amalangi yalekanalekana, cipalile kwati pali efyo balesefya.	leh
29_9627_3_292_02_220114-180351_bem_84b_elicit_1.wav	Limbi bale fwaya uku mona ngo mwana ali shiba uku bomfya ici ekete	ngo
13_6953_0_131_01_211031-150838_bem_9ed_elicit_0.wav	Imbwa shibili shilebutuka mukutentemuka pakaculu. Imo naimya necimuti kukanwa	nya
18_12107_2_181_01_211114-162840_bem_5da_elicit_1.wav	Efyokalemoneka,limbi emuku wakako uwakubalilapo ukwisa po kucimana icikulu ngeci.	toi
34_4982_4_341_01_211113-162658_bem_004_elicit_2.wav	Shitata ne mbwa baleoba ukuya kwishiilya lya mumana.	nbl
33_4703_1_332_02_211109-120115_bem_b14_elicit_0.wav	Umo umulumendo pe bumba ili naikala kabili alebelenga  ipepala lya lyashi	nse
19_1397_1_192_02_211110-164032_bem_d8d_elicit_0.wav	ifi ifinshingwa filemoneka kwati abantu baleshimika.	leh
18_12143_2_181_01_211114-231452_bem_5da_elicit_1.wav	Ee boi,elyo imbwa yakaena iili na shikulu bantu uyu ilelolesha kwati ilefwailikisha utwakulya munshila.	toi
13_3185_3_132_02_211025-154701_bem_9ed_elicit_1.wav	Limbi ba ciikalisha sana mung'anda. Apa epo ba ba lekelako kuba fyashi ati bangaleko.	nya
14_7239_3_142_02_211112-155146_bem_5da_elicit_1.wav	Bushe kulaba nama kwebo,nangula kubafe bakemba nefyakwangala abana abanono?	toi
29_9658_1_292_02_220114-201847_bem_84b_elicit_0.wav	Mule moneka nimulya bamona ifintu usendele lulya taulaya mu kunyine indeke	ngo
19_1250_1_192_02_211109-181920_bem_d8d_elicit_0.wav	Naikala nebumba lyabantu abankanda yabuta, ena nafwala ishati ilyafita elyo alikwata nemishishi ishipi ishabuta..	leh
28_9386_2_281_01_220110-195554_bem_94f_elicit_1.wav	Namolu aya pusanapusana naya dinda panshi, cifwile abantu abengi ba bomfye iyi nshila saana	ngo
19_1353_1_192_02_211110-133034_bem_d8d_elicit_0.wav	Eyo nafwala ishati nensokoshi isha kashika elyo nakaputula kabuta.	leh
16_6394_2_161_01_220111-143104_bem_5da_elicit_1.wav	Shi tata uyu kwena ale cimfya mubwangalo ubwakwensha ama horse.	toi
17_6488_1_172_02_220112-010058_bem_5da_elicit_0.wav	Mumenshi alesamba umuntu uyu muli notumuti utwamena panshi.	toi
19_1391_1_192_02_211110-163609_bem_d8d_elicit_0.wav	elyo nafwala ifyakufwala fyafita, tafwele nensapato.	leh
